increase,decrease,delta,direct_change_in_mean_loss,local_slope_per_1pct,mean_loss_slope
arxiv,freelaw,0.01,-0.00040791052049081136,-0.00040791052049081136,-0.040791052049081136
arxiv,nih_exporter,0.002944840108547975,-0.01625410740140605,-0.05519521197169694,-5.519521197169694
arxiv,pubmed_central,0.01,3.662669960029337e-05,3.662669960029337e-05,0.003662669960029337
arxiv,wikipedia_en,0.01,0.0009191667813588207,0.0009191667813588205,0.09191667813588206
arxiv,dm_mathematics,0.01,0.01697879480370928,0.01697879480370928,1.697879480370928
arxiv,github,0.01,-1.4483912844574466e-05,-1.4483912844574466e-05,-0.0014483912844574466
arxiv,philpapers,0.002743848675596518,-0.016610893994640347,-0.06053866651749337,-6.053866651749337
arxiv,stackexchange,0.01,0.0025931291106504094,0.0025931291106504094,0.25931291106504095
arxiv,enron_emails,0.001105516521703113,-0.04058969794704399,-0.36715595968220527,-36.715595968220526
arxiv,gutenberg_pg_19,0.01,0.00029538602753701544,0.00029538602753701544,0.029538602753701543
arxiv,pile_cc,0.01,0.0004502570340153812,0.00045025703401538114,0.045025703401538116
arxiv,ubuntu_irc,0.009799999142002946,0.026660802871591012,0.02720490327118745,2.720490327118745
arxiv,europarl,0.0063685323770157655,-0.009645126111245555,-0.015144974603654555,-1.5144974603654555
arxiv,hackernews,0.005825411189054339,-0.005213329948771909,-0.00894929092484922,-0.8949290924849219
arxiv,pubmed_abstracts,0.01,0.00026781416164738223,0.00026781416164738223,0.026781416164738222
arxiv,uspto_backgrounds,0.01,-5.8277707470261605e-05,-5.82777074702616e-05,-0.00582777074702616
freelaw,arxiv,0.01,0.00045541830753017886,0.0004554183075301788,0.04554183075301788
freelaw,nih_exporter,0.002944840108547975,-0.01612889164250517,-0.05477000804114256,-5.4770008041142555
freelaw,pubmed_central,0.01,0.00044961744386701625,0.0004496174438670163,0.04496174438670163
freelaw,wikipedia_en,0.01,0.0013321575256256119,0.0013321575256256119,0.13321575256256118
freelaw,dm_mathematics,0.01,0.01739178554797614,0.01739178554797614,1.739178554797614
freelaw,github,0.01,0.00039850683142221674,0.0003985068314222168,0.03985068314222168
freelaw,philpapers,0.002743848675596518,-0.016494125128074764,-0.06011310053200696,-6.011310053200696
freelaw,stackexchange,0.01,0.003006119854917235,0.003006119854917235,0.30061198549172347
freelaw,enron_emails,0.001105516521703113,-0.040542321257050734,-0.36672741167714906,-36.672741167714904
freelaw,gutenberg_pg_19,0.01,0.0007083767718038067,0.0007083767718038067,0.07083767718038067
freelaw,pile_cc,0.01,0.000863247778282309,0.000863247778282309,0.08632477782823089
freelaw,ubuntu_irc,0.009799999142002946,0.027065860605218983,0.02761822752536201,2.761822752536201
freelaw,europarl,0.0063685323770157655,-0.009378183034062664,-0.01472581511543982,-1.472581511543982
freelaw,hackernews,0.005825411189054339,-0.0049686025803044554,-0.008529187758694554,-0.8529187758694554
freelaw,pubmed_abstracts,0.01,0.0006808049059143101,0.0006808049059143101,0.06808049059143101
freelaw,uspto_backgrounds,0.01,0.00035471303679659793,0.0003547130367965979,0.03547130367965979
nih_exporter,arxiv,0.01,0.025069316112751077,0.025069316112751077,2.5069316112751077
nih_exporter,freelaw,0.01,0.024618978028996912,0.024618978028996912,2.461897802899691
nih_exporter,pubmed_central,0.01,0.025063515249087846,0.025063515249087846,2.5063515249087844
nih_exporter,wikipedia_en,0.01,0.02594605533084658,0.02594605533084658,2.594605533084658
nih_exporter,dm_mathematics,0.01,0.042005683353197106,0.042005683353197106,4.20056833531971
nih_exporter,github,0.01,0.02501240463664308,0.02501240463664308,2.501240463664308
nih_exporter,philpapers,0.002743848675596518,-0.0071627743192090015,-0.0261048445670999,-2.61048445670999
nih_exporter,stackexchange,0.01,0.0276200176601382,0.0276200176601382,2.76200176601382
nih_exporter,enron_emails,0.001105516521703113,-0.03637484080630927,-0.3290302776323206,-32.90302776323206
nih_exporter,gutenberg_pg_19,0.01,0.025322274577024705,0.025322274577024705,2.5322274577024704
nih_exporter,pile_cc,0.01,0.025477145583503173,0.025477145583503173,2.547714558350317
nih_exporter,ubuntu_irc,0.009799999142002946,0.051358662871215266,0.05240680343643221,5.240680343643221
nih_exporter,europarl,0.0063685323770157655,0.008686864786652721,0.013640293041460999,1.3640293041460998
nih_exporter,hackernews,0.005825411189054339,0.011959371229172037,0.020529660209468316,2.0529660209468314
nih_exporter,pubmed_abstracts,0.01,0.025294702711135174,0.025294702711135174,2.5294702711135173
nih_exporter,uspto_backgrounds,0.01,0.02496861084201753,0.02496861084201753,2.496861084201753
pubmed_central,arxiv,0.01,4.748043066015429e-05,4.74804306601543e-05,0.00474804306601543
pubmed_central,freelaw,0.01,-0.00040285765309404473,-0.0004028576530940448,-0.040285765309404475
pubmed_central,nih_exporter,0.002944840108547975,-0.016252549541777232,-0.05518992183854406,-5.518992183854405
pubmed_central,wikipedia_en,0.01,0.0009242196487556215,0.0009242196487556215,0.09242196487556215
pubmed_central,dm_mathematics,0.01,0.01698384767110605,0.01698384767110605,1.698384767110605
pubmed_central,github,0.01,-9.431045447773666e-06,-9.431045447773666e-06,-0.0009431045447773665
pubmed_central,philpapers,0.002743848675596518,-0.016609440503049806,-0.06053336924434756,-6.053336924434756
pubmed_central,stackexchange,0.01,0.0025981819780471417,0.0025981819780471417,0.25981819780471416
pubmed_central,enron_emails,0.001105516521703113,-0.040589105797335476,-0.367150603365073,-36.7150603365073
pubmed_central,gutenberg_pg_19,0.01,0.0003004388949336796,0.0003004388949336796,0.030043889493367962
pubmed_central,pile_cc,0.01,0.0004553099014122503,0.0004553099014122503,0.045530990141225025
pubmed_central,ubuntu_irc,0.009799999142002946,0.026665760941064355,0.027209962526195026,2.7209962526195026
pubmed_central,europarl,0.0063685323770157655,-0.009641832406949415,-0.015139802761696073,-1.5139802761696073
pubmed_central,hackernews,0.005825411189054339,-0.00521030644533554,-0.00894410072738805,-0.894410072738805
pubmed_central,pubmed_abstracts,0.01,0.00027286702904404634,0.00027286702904404634,0.027286702904404634
pubmed_central,uspto_backgrounds,0.01,-5.322484007352912e-05,-5.322484007352912e-05,-0.005322484007352912
wikipedia_en,arxiv,0.01,-0.0007051292684924813,-0.0007051292684924813,-0.07051292684924812
wikipedia_en,freelaw,0.01,-0.0011554673522468511,-0.0011554673522468511,-0.11554673522468512
wikipedia_en,nih_exporter,0.002944840108547975,-0.016486018168098412,-0.05598272761989527,-5.598272761989527
wikipedia_en,pubmed_central,0.01,-0.0007109301321558147,-0.0007109301321558149,-0.07109301321558148
wikipedia_en,dm_mathematics,0.01,0.016231237971953173,0.016231237971953173,1.6231237971953172
wikipedia_en,github,0.01,-0.0007620407446004776,-0.0007620407446004776,-0.07620407446004776
