dataset,validation_domain,v2_minus_selected_rmse,ci_low,ci_high,evidence_status
test_1m,arxiv,0.02029898452384593,0.008541258805083824,0.031301472980754835,retrospective_descriptive_diagnostic
test_1m,freelaw,0.012152654492764842,0.004998433437718077,0.019449219511011837,retrospective_descriptive_diagnostic
test_1m,pubmed_central,0.01740044288898765,0.00883476332914213,0.02629778399160791,retrospective_descriptive_diagnostic
test_1m,wikipedia_en,0.00600822654712585,0.0009407355315212793,0.010877380571085948,retrospective_descriptive_diagnostic
test_1m,dm_mathematics,0.03727542036412379,0.022431208315245695,0.053068364833966424,retrospective_descriptive_diagnostic
test_1m,github,0.016005001442571443,0.0034150216549354616,0.02775384057365427,retrospective_descriptive_diagnostic
test_1m,stackexchange,0.006421405411998038,-0.003078714212961192,0.015471521877674747,retrospective_descriptive_diagnostic
test_1m,gutenberg_pg_19,0.000792696199364229,-0.004080703820874876,0.0062009797591307154,retrospective_descriptive_diagnostic
test_1m,pile_cc,0.003982075027063783,0.0011965218554243454,0.0069327332000804235,retrospective_descriptive_diagnostic
test_1m,ubuntu_irc,0.03347131176087936,0.020433754063280008,0.04712365388036672,retrospective_descriptive_diagnostic
test_1m,hackernews,0.0014863489384493167,-0.002470679287668293,0.0056470960110672555,retrospective_descriptive_diagnostic
test_1m,pubmed_abstracts,-0.00011215667291739062,-0.005231747435645062,0.005087273804977467,retrospective_descriptive_diagnostic
test_1m,uspto_backgrounds,0.004265303394440673,-0.0008975702442949601,0.009413318082033292,retrospective_descriptive_diagnostic
test_60m,arxiv,0.012374793814094565,0.0019219559401033204,0.022824032328399697,retrospective_descriptive_diagnostic
test_60m,freelaw,0.005703372050375188,-0.0007482264108148673,0.012039828632057851,retrospective_descriptive_diagnostic
test_60m,pubmed_central,0.0009501856058151681,-0.007892803885155036,0.009846454195233159,retrospective_descriptive_diagnostic
test_60m,wikipedia_en,0.002886639864930096,-0.001984231651355173,0.007179192938575289,retrospective_descriptive_diagnostic
test_60m,dm_mathematics,-0.003165950118138916,-0.01763356028130041,0.010514964858363195,retrospective_descriptive_diagnostic
test_60m,github,0.01211096825364466,0.0009459105074527519,0.022606363584460182,retrospective_descriptive_diagnostic
test_60m,stackexchange,0.00624429170793972,-0.0023211672387984106,0.0144296723015748,retrospective_descriptive_diagnostic
test_60m,gutenberg_pg_19,-0.002438944050558778,-0.007216472406682173,0.002419290423631967,retrospective_descriptive_diagnostic
test_60m,pile_cc,0.0006000039077389552,-0.0022899971926198413,0.003406448447343535,retrospective_descriptive_diagnostic
test_60m,ubuntu_irc,0.005316306177647778,-0.008359955513991362,0.01867318646601645,retrospective_descriptive_diagnostic
test_60m,hackernews,-0.0017749563329771956,-0.005966287927058467,0.002234365517051244,retrospective_descriptive_diagnostic
test_60m,pubmed_abstracts,-0.001625329892168903,-0.00752366666362681,0.004220240531737498,retrospective_descriptive_diagnostic
test_60m,uspto_backgrounds,-0.0031089939325956717,-0.008787031676149599,0.002642104987410229,retrospective_descriptive_diagnostic
test_1B,arxiv,-0.023573580957907403,-0.03890236010275845,-0.008362614951200723,retrospective_descriptive_diagnostic
test_1B,freelaw,-0.018804608227572128,-0.028601141584894664,-0.009097945470591806,retrospective_descriptive_diagnostic
test_1B,pubmed_central,-0.02090476646103534,-0.03170430181943694,-0.01021147594160158,retrospective_descriptive_diagnostic
test_1B,wikipedia_en,0.008157542725537592,-7.420743768974388e-05,0.01559676504345391,retrospective_descriptive_diagnostic
test_1B,dm_mathematics,0.06490351058896637,0.0395418341410356,0.09144254160822432,retrospective_descriptive_diagnostic
test_1B,github,-0.04043193315983418,-0.05678666731659128,-0.024976621726003383,retrospective_descriptive_diagnostic
test_1B,stackexchange,-0.009016331221781915,-0.023344181354834903,0.005224494674637582,retrospective_descriptive_diagnostic
test_1B,gutenberg_pg_19,0.03050540488039344,0.02317558275308774,0.03759204951010452,retrospective_descriptive_diagnostic
test_1B,pile_cc,0.016374237131310476,0.012164400300630606,0.019926248361499962,retrospective_descriptive_diagnostic
test_1B,ubuntu_irc,0.1014540939825701,0.0767366814266007,0.12440071366202991,retrospective_descriptive_diagnostic
test_1B,hackernews,0.027336351444298135,0.019751883619339605,0.03489599848223002,retrospective_descriptive_diagnostic
test_1B,pubmed_abstracts,0.008969816980218592,-0.00047901355504658126,0.018149124375942672,retrospective_descriptive_diagnostic
test_1B,uspto_backgrounds,0.006172904270231427,-0.0021330476523062523,0.014158433275947485,retrospective_descriptive_diagnostic
